"","ind_id","Sex","Ethnicity","question","response","domain","domain2","domain3"
"1",262055253,"Male","bayaka","hh_head","Me","household_head","household_head","hh_head"
"2",262055034,"Female","bandongo","hh_head","Me","household_head","household_head","hh_head"
"3",262055231,"Female","bayaka","hh_head","Partner","household_head","household_head","hh_head"
"4",262055213,"Female","bayaka","hh_head","Partner","household_head","household_head","hh_head"
"5",262055283,"Female","bayaka","hh_head","Partner","household_head","household_head","hh_head"
"6",262055260,"Female","bayaka","hh_head","Together","household_head","household_head","hh_head"
"7",262091545,"Female","bandongo","hh_head","Together","household_head","household_head","hh_head"
"8",262055174,"Female","bayaka","hh_head","Me","household_head","household_head","hh_head"
"9",262055247,"Female","bayaka","hh_head","Partner","household_head","household_head","hh_head"
"10",262055170,"Male","bayaka","hh_head","Me","household_head","household_head","hh_head"
"11",262055280,"Female","bayaka","hh_head","Partner","household_head","household_head","hh_head"
"12",262055084,"Female","bandongo","hh_head","Partner","household_head","household_head","hh_head"
"13",262055187,"Female","bayaka","hh_head","Others","household_head","household_head","hh_head"
"14",262054992,"Female","bandongo","hh_head","Partner","household_head","household_head","hh_head"
"15",262054988,"Female","bandongo","hh_head","Others","household_head","household_head","hh_head"
"16",262055208,"Male","bayaka","hh_head","Me","household_head","household_head","hh_head"
"17",262055030,"Female","bandongo","hh_head","Partner","household_head","household_head","hh_head"
"18",262091598,"Female","bandongo","hh_head","Me","household_head","household_head","hh_head"
"19",262055035,"Female","bandongo","hh_head","Me","household_head","household_head","hh_head"
"20",262055203,"Female","bayaka","hh_head","Partner","household_head","household_head","hh_head"
"21",262055006,"Female","bandongo","hh_head","Partner","household_head","household_head","hh_head"
"22",262091585,"Female","bandongo","hh_head","Partner","household_head","household_head","hh_head"
"23",262091636,"Female","bandongo","hh_head","Partner","household_head","household_head","hh_head"
"24",262055081,"Female","bandongo","hh_head","Partner","household_head","household_head","hh_head"
"25",262055210,"Male","bayaka","hh_head","Others","household_head","household_head","hh_head"
"26",262055192,"Female","bayaka","hh_head","Others","household_head","household_head","hh_head"
"27",262055211,"Female","bayaka","hh_head","Others","household_head","household_head","hh_head"
"28",262091711,"Female","bandongo","hh_head","Me","household_head","household_head","hh_head"
"29",262055066,"Female","bandongo","hh_head","Partner","household_head","household_head","hh_head"
"30",262091702,"Female","bandongo","hh_head","Me","household_head","household_head","hh_head"
"31",262055165,"Male","bayaka","hh_head","Partner","household_head","household_head","hh_head"
"32",262055212,"Male","bayaka","hh_head","Others","household_head","household_head","hh_head"
"33",262055267,"Female","bayaka","hh_head","Partner","household_head","household_head","hh_head"
"34",262055177,"Male","bayaka","hh_head","Me","household_head","household_head","hh_head"
"35",262055236,"Female","bayaka","hh_head","Me","household_head","household_head","hh_head"
"36",262055242,"Female","bayaka","hh_head","Others","household_head","household_head","hh_head"
"37",262091525,"Female","bandongo","hh_head","Others","household_head","household_head","hh_head"
"38",262055189,"Female","bayaka","hh_head","Others","household_head","household_head","hh_head"
"39",262055263,"Female","bayaka","hh_head","Me","household_head","household_head","hh_head"
"40",262055201,"Female","bayaka","hh_head","Me","household_head","household_head","hh_head"
"41",262055209,"Female","bayaka","hh_head","Partner","household_head","household_head","hh_head"
"42",262054995,"Female","bandongo","hh_head","Partner","household_head","household_head","hh_head"
"43",262055250,"Female","bayaka","hh_head","Partner","household_head","household_head","hh_head"
"44",262055188,"Female","bayaka","hh_head","Me","household_head","household_head","hh_head"
"45",262055197,"Female","bayaka","hh_head","Partner","household_head","household_head","hh_head"
"46",262055058,"Female","bandongo","hh_head","Others","household_head","household_head","hh_head"
"47",262055061,"Female","bandongo","hh_head","Others","household_head","household_head","hh_head"
"48",262055064,"Female","bandongo","hh_head","Partner","household_head","household_head","hh_head"
"49",262055083,"Female","bandongo","hh_head","Me","household_head","household_head","hh_head"
"50",262055001,"Female","bandongo","hh_head","Partner","household_head","household_head","hh_head"
"51",262055085,"Female","bandongo","hh_head","Me","household_head","household_head","hh_head"
"52",262055225,"Male","bayaka","hh_head","Me","household_head","household_head","hh_head"
"53",262055222,"Male","bayaka","hh_head","Others","household_head","household_head","hh_head"
"54",262055200,"Female","bayaka","hh_head","Together","household_head","household_head","hh_head"
"55",262055228,"Female","bayaka","hh_head","Partner","household_head","household_head","hh_head"
"56",262055207,"Female","bayaka","hh_head","Partner","household_head","household_head","hh_head"
"57",262055162,"Male","bayaka","hh_head","Partner","household_head","household_head","hh_head"
"58",262055023,"Female","bandongo","hh_head","Others","household_head","household_head","hh_head"
"59",262055218,"Male","bayaka","hh_head","Me","household_head","household_head","hh_head"
"60",262055020,"Female","bandongo","hh_head","Me","household_head","household_head","hh_head"
"61",262055233,"Female","bayaka","hh_head","Me","household_head","household_head","hh_head"
"62",262055276,"Female","bayaka","hh_head","Partner","household_head","household_head","hh_head"
"63",262055180,"Female","bayaka","hh_head","Me","household_head","household_head","hh_head"
"64",262091684,"Female","bandongo","hh_head","Partner","household_head","household_head","hh_head"
"65",262055014,"Female","bandongo","hh_head","Partner","household_head","household_head","hh_head"
"66",262055027,"Female","bandongo","hh_head","Me","household_head","household_head","hh_head"
"67",262055199,"Male","bayaka","hh_head","Partner","household_head","household_head","hh_head"
"68",262055198,"Male","bayaka","hh_head","Partner","household_head","household_head","hh_head"
"69",262055171,"Female","bayaka","hh_head","Partner","household_head","household_head","hh_head"
"70",262055215,"Female","bayaka","hh_head","Partner","household_head","household_head","hh_head"
"71",262055195,"Male","bayaka","hh_head","Others","household_head","household_head","hh_head"
"72",262055010,"Female","bandongo","hh_head","Me","household_head","household_head","hh_head"
"73",262055194,"Male","bayaka","hh_head","Others","household_head","household_head","hh_head"
"74",262055026,"Female","bandongo","hh_head","Partner","household_head","household_head","hh_head"
"75",262055186,"Female","bayaka","hh_head","Others","household_head","household_head","hh_head"
"76",262055270,"Female","bayaka","hh_head","Partner","household_head","household_head","hh_head"
"77",262055206,"Male","bayaka","hh_head","Me","household_head","household_head","hh_head"
"78",262091728,"Female","bandongo","hh_head","Partner","household_head","household_head","hh_head"
