"ind_id","Sex","Ethnicity","question","response","domain2","age"
262091545,"Female","bandongo","residence","Partner","mobility","b"
262055174,"Female","bayaka","residence","Me","mobility","d"
262055247,"Female","bayaka","residence","Partner","mobility","b"
262055170,"Male","bayaka","residence","Me","mobility","d"
262055280,"Female","bayaka","residence","Partner","mobility","c"
262055084,"Female","bandongo","residence","Partner","mobility","a"
262055187,"Female","bayaka","residence","Others","mobility","c"
262054992,"Female","bandongo","residence","Partner","mobility","a"
262054988,"Female","bandongo","residence","Others","mobility","a"
262055208,"Male","bayaka","residence","Partner","mobility","b"
262055030,"Female","bandongo","residence","Partner","mobility","a"
262091598,"Female","bandongo","residence","Together","mobility","b"
262055035,"Female","bandongo","residence","Me","mobility","b"
262055203,"Female","bayaka","residence","Together","mobility","b"
262055006,"Female","bandongo","residence","Me","mobility","a"
262091585,"Female","bandongo","residence","Together","mobility","b"
262091636,"Female","bandongo","residence","Together","mobility","b"
262055081,"Female","bandongo","residence","Partner","mobility","b"
262055210,"Male","bayaka","residence","Others","mobility","a"
262055192,"Female","bayaka","residence","Me","mobility","b"
262055211,"Female","bayaka","residence","Me","mobility","a"
262091711,"Female","bandongo","residence","Others","mobility","b"
262055066,"Female","bandongo","residence","Partner","mobility","d"
262091702,"Female","bandongo","residence","Me","mobility","b"
262055165,"Male","bayaka","residence","Together","mobility","d"
262055212,"Male","bayaka","residence","Others","mobility","b"
262055267,"Female","bayaka","residence","Partner","mobility","a"
262055177,"Male","bayaka","residence","Me","mobility","b"
262055236,"Female","bayaka","residence","Me","mobility","c"
262055242,"Female","bayaka","residence","Others","mobility","a"
262091525,"Female","bandongo","residence","Partner","mobility","a"
262055189,"Female","bayaka","residence","Others","mobility","b"
262055263,"Female","bayaka","residence","Me","mobility","c"
262055201,"Female","bayaka","residence","Me","mobility","a"
262055209,"Female","bayaka","residence","Me","mobility","c"
262054995,"Female","bandongo","residence","Me","mobility","a"
262055250,"Female","bayaka","residence","Me","mobility","b"
262055188,"Female","bayaka","residence","Others","mobility","c"
262055197,"Female","bayaka","residence","Partner","mobility","b"
262055058,"Female","bandongo","residence","Together","mobility","c"
262055061,"Female","bandongo","residence","Me","mobility","a"
262055064,"Female","bandongo","residence","Partner","mobility","b"
262055083,"Female","bandongo","residence","Me","mobility","d"
262055001,"Female","bandongo","residence","Me","mobility","a"
262055085,"Female","bandongo","residence","Me","mobility","a"
262055225,"Male","bayaka","residence","Me","mobility","c"
262055222,"Male","bayaka","residence","Me","mobility","a"
262055200,"Female","bayaka","residence","Partner","mobility","a"
262055228,"Female","bayaka","residence","Partner","mobility","b"
262055207,"Female","bayaka","residence","Partner","mobility","c"
262055162,"Male","bayaka","residence","Partner","mobility","a"
262055023,"Female","bandongo","residence","Me","mobility","b"
262055218,"Male","bayaka","residence","Me","mobility","b"
262055020,"Female","bandongo","residence","Partner","mobility","b"
262055233,"Female","bayaka","residence","Partner","mobility","b"
262055276,"Female","bayaka","residence","Me","mobility","d"
262055180,"Female","bayaka","residence","Me","mobility","c"
262091684,"Female","bandongo","residence","Partner","mobility","b"
262055014,"Female","bandongo","residence","Together","mobility","c"
262055027,"Female","bandongo","residence","Partner","mobility","b"
262055199,"Male","bayaka","residence","Me","mobility","a"
262055198,"Male","bayaka","residence","Partner","mobility","a"
262055171,"Female","bayaka","residence","Partner","mobility","c"
262055215,"Female","bayaka","residence","Me","mobility","d"
262055195,"Male","bayaka","residence","Me","mobility","a"
262055010,"Female","bandongo","residence","Me","mobility","b"
262055194,"Male","bayaka","residence","Me","mobility","a"
262055026,"Female","bandongo","residence","Partner","mobility","a"
262055186,"Female","bayaka","residence","Others","mobility","a"
262055270,"Female","bayaka","residence","Me","mobility","c"
262055206,"Male","bayaka","residence","Together","mobility","d"
262091728,"Female","bandongo","residence","Partner","mobility","a"
262055036,"Female","bandongo","residence","Others","mobility","b"
262055196,"Male","bayaka","residence","Partner","mobility","b"
262054981,"Female","bandongo","residence","Partner","mobility","d"
262055265,"Female","bayaka","residence","Me","mobility","b"
262055238,"Female","bayaka","residence","Me","mobility","a"
262091614,"Female","bandongo","residence","Partner","mobility","c"
262055079,"Female","bandongo","residence","Partner","mobility","b"
262055164,"Male","bayaka","residence","Partner","mobility","b"
262055191,"Female","bayaka","residence","Partner","mobility","a"
262055184,"Female","bayaka","residence","Me","mobility","a"
262054986,"Male","bandongo","residence","Me","mobility","b"
262055245,"Male","bayaka","residence","Me","mobility","b"
262091607,"Female","bandongo","residence","Together","mobility","c"
262055013,"Female","bandongo","residence","Me","mobility","b"
262055273,"Female","bayaka","residence","Partner","mobility","a"
262055204,"Female","bayaka","residence","Together","mobility","b"
262055190,"Male","bayaka","residence","Me","mobility","b"
262055029,"Female","bandongo","residence","Me","mobility","b"
262091647,"Female","bandongo","residence","Me","mobility","c"
262055176,"Male","bayaka","residence","Others","mobility","b"
262055181,"Male","bayaka","residence","Partner","mobility","b"
262091669,"Female","bandongo","residence","Partner","mobility","b"
262055275,"Female","bayaka","residence","Me","mobility","b"
262054998,"Female","bandongo","residence","Partner","mobility","c"
262055167,"Male","bayaka","residence","Together","mobility","a"
262055202,"Male","bayaka","residence","Me","mobility","b"
262055205,"Male","bayaka","residence","Others","mobility","b"
262055253,"Male","bayaka","mobility","Me","mobility","b"
262055034,"Female","bandongo","mobility","Partner","mobility","b"
262055231,"Female","bayaka","mobility","Partner","mobility","a"
262055213,"Female","bayaka","mobility","Me","mobility","a"
262055283,"Female","bayaka","mobility","Partner","mobility","b"
262055260,"Female","bayaka","mobility","Me","mobility","d"
262091545,"Female","bandongo","mobility","Me","mobility","b"
262055174,"Female","bayaka","mobility","Me","mobility","d"
262055247,"Female","bayaka","mobility","Partner","mobility","b"
262055170,"Male","bayaka","mobility","Me","mobility","d"
262055280,"Female","bayaka","mobility","Partner","mobility","c"
262055084,"Female","bandongo","mobility","Together","mobility","a"
262055187,"Female","bayaka","mobility","Me","mobility","c"
262054992,"Female","bandongo","mobility","Together","mobility","a"
262054988,"Female","bandongo","mobility","Me","mobility","a"
262055208,"Male","bayaka","mobility","Together","mobility","b"
262055030,"Female","bandongo","mobility","Partner","mobility","a"
262091598,"Female","bandongo","mobility","Me","mobility","b"
262055035,"Female","bandongo","mobility","Me","mobility","b"
262055203,"Female","bayaka","mobility","Together","mobility","b"
262055006,"Female","bandongo","mobility","Me","mobility","a"
262091585,"Female","bandongo","mobility","Partner","mobility","b"
262091636,"Female","bandongo","mobility","Together","mobility","b"
262055081,"Female","bandongo","mobility","Together","mobility","b"
262055210,"Male","bayaka","mobility","Me","mobility","a"
262055192,"Female","bayaka","mobility","Me","mobility","b"
262055211,"Female","bayaka","mobility","Partner","mobility","a"
262091711,"Female","bandongo","mobility","Me","mobility","b"
262055066,"Female","bandongo","mobility","Me","mobility","d"
262091702,"Female","bandongo","mobility","Together","mobility","b"
262055165,"Male","bayaka","mobility","Me","mobility","d"
262055212,"Male","bayaka","mobility","Others","mobility","b"
262055267,"Female","bayaka","mobility","Me","mobility","a"
262055177,"Male","bayaka","mobility","Partner","mobility","b"
262055236,"Female","bayaka","mobility","Me","mobility","c"
262055242,"Female","bayaka","mobility","Others","mobility","a"
262091525,"Female","bandongo","mobility","Partner","mobility","a"
262055189,"Female","bayaka","mobility","Others","mobility","b"
262055263,"Female","bayaka","mobility","Me","mobility","c"
262055201,"Female","bayaka","mobility","Me","mobility","a"
262055209,"Female","bayaka","mobility","Together","mobility","c"
262054995,"Female","bandongo","mobility","Partner","mobility","a"
262055250,"Female","bayaka","mobility","Partner","mobility","b"
262055188,"Female","bayaka","mobility","Me","mobility","c"
262055197,"Female","bayaka","mobility","Partner","mobility","b"
262055058,"Female","bandongo","mobility","Together","mobility","c"
262055061,"Female","bandongo","mobility","Me","mobility","a"
262055064,"Female","bandongo","mobility","Together","mobility","b"
262055083,"Female","bandongo","mobility","Me","mobility","d"
262055001,"Female","bandongo","mobility","Together","mobility","a"
262055085,"Female","bandongo","mobility","Together","mobility","a"
262055225,"Male","bayaka","mobility","Me","mobility","c"
262055222,"Male","bayaka","mobility","Me","mobility","a"
262055200,"Female","bayaka","mobility","Partner","mobility","a"
262055228,"Female","bayaka","mobility","Partner","mobility","b"
262055207,"Female","bayaka","mobility","Together","mobility","c"
262055162,"Male","bayaka","mobility","Together","mobility","a"
262055023,"Female","bandongo","mobility","Me","mobility","b"
